Rank,Name,Pos,Attempts,Comps,Pass TDs,Pass Yards,Ints,Receptions,Rec Yards,Rec TDs,Rush Yards,Rush TDs,Fumbles,Projections
279,KaVontae Turpin,WR,,,,,,27.0,315.0,2.0,77.0,1.0,1.0,82.2
280,Spencer Shrader,K,,,,,,,,,,,,82.0
281,Blake Grupe,K,,,,,,,,,,,,82.0
282,TEN,DEF,,,,,,,,,,,,81.0
283,Harold Fannin,TE,,,,,,34.0,345.0,2.0,,,,80.5
284,Adonai Mitchell,WR,,,,,,29.0,388.0,2.0,5.0,,,80.3
285,Joey Slye,K,,,,,,,,,,,,80.0
286,Andy Borregales,K,,,,,,,,,,,,80.0
287,Jermaine Burton,WR,,,,,,26.0,350.0,3.0,6.0,,,79.6
288,Nick Folk,K,,,,,,,,,,,,79.0
289,Nick Chubb,RB,,,,,,12.0,86.0,,395.0,3.0,,78.1
290,Matthew Wright,K,,,,,,,,,,,,78.0
291,AJ Barner,TE,,,,,,33.0,311.0,2.0,,,,76.1
292,Graham Gano,K,,,,,,,,,,,,75.0
293,Devin Neal,RB,,,,,,15.0,110.0,1.0,310.0,2.0,,75.0
294,Will Shipley,RB,,,,,,16.0,120.0,1.0,282.0,2.0,,74.2
295,Noah Brown,WR,,,,,,27.0,350.0,2.0,,,,74.0
296,Dustin Hopkins,K,,,,,,,,,,,,74.0
297,Malik Washington,WR,,,,,,30.0,308.0,2.0,17.0,,1.0,72.5
298,Ray-Ray McCloud,WR,,,,,,29.0,291.0,2.0,43.0,,1.0,72.4
299,Dontayvion Wicks,WR,,,,,,26.0,335.0,2.0,5.0,,,72.0
300,Pat Bryant,WR,,,,,,27.0,323.0,2.0,,,,71.3
301,Jaylin Lane,WR,,,,,,28.0,305.0,2.0,6.0,,,71.1
302,Marquez Valdes-Scantling,WR,,,,,,23.0,353.0,2.0,4.0,,,70.7
303,Parker Washington,WR,,,,,,28.0,285.0,2.0,17.0,,,70.2
304,Tahj Brooks,RB,,,,,,11.0,80.0,,350.0,3.0,1.0,70.0
305,Michael Mayer,TE,,,,,,29.0,285.0,2.0,,,,69.5
306,Noah Fant,TE,,,,,,29.0,285.0,2.0,,,,69.5
307,Emanuel Wilson,RB,,,,,,16.0,118.0,1.0,250.0,2.0,1.0,68.8
308,Kyle Monangai,RB,,,,,,8.0,58.0,,352.0,3.0,,67.0
309,Amari Cooper,WR,,,,,,21.0,319.0,2.0,,,,64.9
310,Will Dissly,TE,,,,,,26.0,255.0,2.0,,,,63.5
311,Chimere Dike,WR,,,,,,21.0,296.0,2.0,5.0,,,63.1
312,Sean Tucker,RB,,,,,,11.0,81.0,1.0,299.0,2.0,2.0,63.0
313,Tyler Conklin,TE,,,,,,26.0,245.0,2.0,,,,62.5
314,Jalen Royals,WR,,,,,,22.0,265.0,2.0,5.0,,,61.0
315,Tai Felton,WR,,,,,,21.0,267.0,2.0,11.0,,,60.8
316,Oronde Gadsden,TE,,,,,,24.0,240.0,2.0,,,,60.0
317,Tim Patrick,WR,,,,,,21.0,262.0,2.0,,,,59.2
318,Jaxson Dart,QB,133.0,82.0,4.0,875.0,4.0,,,,80.0,1.0,1.0,59.0
319,Cole Kmet,TE,,,,,,24.0,240.0,2.0,,,1.0,58.0
320,Raheem Mostert,RB,,,,,,13.0,95.0,,232.0,2.0,,57.7
321,Devin Singletary,RB,,,,,,10.0,74.0,,282.0,2.0,,57.6
322,Demarcus Robinson,WR,,,,,,19.0,263.0,2.0,,,,57.3
323,Isaac TeSlaa,WR,,,,,,18.0,268.0,2.0,,,,56.8
324,Dawson Knox,TE,,,,,,21.0,237.0,2.0,,,,56.7
325,Terrance Ferguson,TE,,,,,,22.0,226.0,2.0,,,,56.6
326,Ty Johnson,RB,,,,,,14.0,108.0,1.0,189.0,1.0,,55.7
327,Ben Sinnott,TE,,,,,,21.0,219.0,2.0,,,,54.9
328,Woody Marks,RB,,,,,,15.0,108.0,1.0,163.0,1.0,,54.1
329,Kendre Miller,RB,,,,,,10.0,72.0,,248.0,2.0,,54.0
330,Curtis Samuel,WR,,,,,,19.0,205.0,2.0,24.0,,,53.9
331,Brashard Smith,RB,,,,,,15.0,113.0,1.0,154.0,1.0,,53.7
332,Austin Hooper,TE,,,,,,21.0,205.0,2.0,,,,53.5
333,DJ Giddens,RB,,,,,,10.0,72.0,,242.0,2.0,,53.4
334,Gabe Davis,WR,,,,,,17.0,242.0,2.0,,,,53.2
335,Devaughn Vele,WR,,,,,,20.0,205.0,2.0,5.0,,,53.0
336,Jarquez Hunter,RB,,,,,,10.0,67.0,,253.0,2.0,1.0,52.0
337,Kenneth Gainwell,RB,,,,,,14.0,102.0,1.0,168.0,1.0,1.0,51.0
338,Samaje Perine,RB,,,,,,16.0,115.0,1.0,134.0,1.0,1.0,50.9
339,Keaton Mitchell,RB,,,,,,10.0,78.0,1.0,187.0,1.0,,48.5
340,Blake Corum,RB,,,,,,8.0,54.0,,228.0,2.0,1.0,46.2
341,Gunnar Helm,TE,,,,,,20.0,190.0,1.0,,,,45.0
342,Dameon Pierce,RB,,,,,,8.0,59.0,,230.0,2.0,2.0,44.9
343,Jordan James,RB,,,,,,6.0,44.0,,220.0,2.0,,44.4
344,Kenny Pickett,QB,100.0,62.0,3.0,654.0,3.0,,,,43.0,1.0,1.0,43.46
345,Bub Means,WR,,,,,,17.0,191.0,1.0,7.0,,,42.8
346,Tre Tucker,WR,,,,,,15.0,181.0,1.0,27.0,,,41.8
347,Antonio Gibson,RB,,,,,,12.0,90.0,,146.0,1.0,,41.6
348,Luke Musgrave,TE,,,,,,17.0,181.0,1.0,,,,41.1
349,Arian Smith,WR,,,,,,15.0,190.0,1.0,7.0,,,40.7
350,Jacory Croskey-Merritt,RB,,,,,,4.0,28.0,,216.0,2.0,,40.4
351,Jahan Dotson,WR,,,,,,16.0,171.0,1.0,5.0,,,39.6
352,Josh Oliver,TE,,,,,,17.0,160.0,1.0,,,,39.0
353,KhaDarel Hodge,WR,,,,,,14.0,174.0,1.0,6.0,,,38.0
354,Foster Moreau,TE,,,,,,16.0,155.0,1.0,,,,37.5
355,Ollie Gordon,RB,,,,,,4.0,30.0,,200.0,2.0,1.0,37.0
356,Allen Lazard,WR,,,,,,13.0,177.0,1.0,,,,36.7
357,Elijah Higgins,TE,,,,,,15.0,155.0,1.0,,,,36.5
358,Malachi Corley,WR,,,,,,14.0,145.0,1.0,11.0,,,35.6
359,Luke Schoonmaker,TE,,,,,,15.0,140.0,1.0,,,,35.0
360,Jalin Hyatt,WR,,,,,,12.0,170.0,1.0,,,,35.0
361,Kalif Raymond,WR,,,,,,13.0,161.0,1.0,12.0,,1.0,34.3
362,Jaleel McLaughlin,RB,,,,,,8.0,56.0,,162.0,1.0,1.0,33.8
363,Cade Stover,TE,,,,,,14.0,138.0,1.0,,,,33.8
364,Luke McCaffrey,WR,,,,,,14.0,131.0,1.0,5.0,,,33.6
365,Tommy Tremble,TE,,,,,,14.0,130.0,1.0,,,,33.0
366,Ty Chandler,RB,,,,,,8.0,58.0,,130.0,1.0,,32.8
367,Trevor Etienne,RB,,,,,,7.0,50.0,,147.0,1.0,,32.7
368,MarShawn Lloyd,RB,,,,,,7.0,52.0,,145.0,1.0,,32.7
369,Darnell Washington,TE,,,,,,13.0,132.0,1.0,,,,32.2
370,Daniel Bellinger,TE,,,,,,13.0,127.0,1.0,,,,31.7
371,Julian Hill,TE,,,,,,13.0,125.0,1.0,,,,31.5
372,Van Jefferson,WR,,,,,,12.0,131.0,1.0,,,,31.1
373,Isaiah Davis,RB,,,,,,5.0,37.0,,163.0,1.0,,31.0
374,Zay Jones,WR,,,,,,11.0,129.0,1.0,11.0,,,31.0
375,Christian Watson,WR,,,,,,10.0,150.0,1.0,,,,31.0
376,Savion Williams,WR,,,,,,11.0,125.0,1.0,6.0,,,30.1
377,KeAndre Lambert-Smith,WR,,,,,,10.0,134.0,1.0,6.0,,,30.0
378,Robert Woods,WR,,,,,,12.0,120.0,1.0,,,,30.0
379,Bo Melton,WR,,,,,,9.0,125.0,1.0,22.0,,,29.7
380,Jameis Winston,QB,65.0,40.0,3.0,450.0,2.0,,,,16.0,,,29.6
381,Adam Trautman,TE,,,,,,12.0,115.0,1.0,,,,29.5
382,DJ Chark,WR,,,,,,10.0,133.0,1.0,,,,29.3
383,Olamide Zaccheaus,WR,,,,,,11.0,115.0,1.0,5.0,,,29.0
384,Khalil Herbert,RB,,,,,,6.0,42.0,,127.0,1.0,,28.9
385,Damien Martinez,RB,,,,,,4.0,29.0,,158.0,1.0,,28.7
386,Johnny Mundt,TE,,,,,,12.0,106.0,1.0,,,,28.6
387,Tyler Boyd,WR,,,,,,11.0,115.0,1.0,,,,28.5
388,Jeremy Ruckert,TE,,,,,,11.0,110.0,1.0,,,,28.0
389,Kalel Mullings,RB,,,,,,4.0,29.0,,150.0,1.0,,27.9
390,A.J. Dillon,RB,,,,,,3.0,22.0,,165.0,1.0,,27.7
391,Elijah Moore,WR,,,,,,10.0,110.0,1.0,4.0,,,27.4
392,Mack Hollins,WR,,,,,,9.0,115.0,1.0,5.0,,,27.0
393,JuJu Smith-Schuster,WR,,,,,,10.0,108.0,1.0,,,,26.8
394,Xavier Restrepo,WR,,,,,,10.0,105.0,1.0,2.0,,,26.7
395,Johnny Wilson,WR,,,,,,9.0,114.0,1.0,,,,26.4
396,Drew Sample,TE,,,,,,11.0,92.0,1.0,,,,26.2
397,Colby Parkinson,TE,,,,,,10.0,100.0,1.0,,,,26.0
398,Jaheim Bell,TE,,,,,,10.0,100.0,1.0,,,,26.0
399,Brock Wright,TE,,,,,,10.0,100.0,1.0,,,,26.0
400,Charlie Woerner,TE,,,,,,10.0,98.0,1.0,,,,25.8
401,Brevin Jordan,TE,,,,,,10.0,98.0,1.0,,,,25.8
402,Grant Calcaterra,TE,,,,,,10.0,95.0,1.0,,,,25.5
403,Brevyn Spann-Ford,TE,,,,,,10.0,95.0,1.0,,,,25.5
404,Sincere McCormick,RB,,,,,,4.0,29.0,,125.0,1.0,,25.4
405,Chris Brooks,RB,,,,,,4.0,29.0,,124.0,1.0,,25.3
406,Rasheen Ali,RB,,,,,,3.0,22.0,,140.0,1.0,,25.2
407,LeQuint Allen,RB,,,,,,6.0,42.0,,85.0,1.0,,24.7
408,Devontez Walker,WR,,,,,,7.0,106.0,1.0,5.0,,,24.1
409,Tyrod Taylor,QB,60.0,38.0,2.0,403.0,1.0,,,,25.0,,1.0,23.62
410,John Hoyland,K,,,,,,,,,,,,23.0
411,Shedeur Sanders,QB,66.0,41.0,2.0,425.0,2.0,,,,18.0,,1.0,22.8
412,Dillon Gabriel,QB,64.0,39.0,2.0,400.0,2.0,,,,20.0,,1.0,22.0
413,Payne Durham,TE,,,,,,8.0,78.0,1.0,,,,21.8
414,Jalen Milroe,QB,28.0,17.0,1.0,185.0,1.0,,,,53.0,1.0,1.0,21.7
415,Devin Culp,TE,,,,,,8.0,77.0,1.0,,,,21.7
416,John Bates,TE,,,,,,8.0,74.0,1.0,,,,21.4
417,Zamir White,RB,,,,,,3.0,21.0,,103.0,1.0,,21.4
418,Zane Gonzalez,K,,,,,,,,,,,,21.0
419,Eddy Pineiro,K,,,,,,,,,,,,21.0
420,Austin Seibert,K,,,,,,,,,,,,21.0
421,Tylan Wallace,WR,,,,,,6.0,84.0,1.0,5.0,,,20.9
422,Anders Carlson,K,,,,,,,,,,,,20.0
423,Harrison Mevis,K,,,,,,,,,,,,20.0
424,Greg Zuerlein,K,,,,,,,,,,,,20.0
425,Matt Prater,K,,,,,,,,,,,,20.0
426,Emari Demercado,RB,,,,,,8.0,57.0,,62.0,,,19.9
427,Taysom Hill,TE,,,,,,4.0,40.0,,50.0,1.0,,19.0
428,Tyler Goodson,RB,,,,,,8.0,56.0,,41.0,,,17.7
429,Sam Howell,QB,32.0,20.0,2.0,215.0,1.0,,,,14.0,,,17.0
430,Jimmy Garoppolo,QB,32.0,21.0,2.0,222.0,1.0,,,,6.0,,,16.48
431,Michael Badgley,K,,,,,,,,,,,,15.0
432,Brayden Narveson,K,,,,,,,,,,,,15.0
433,Parker Romo,K,,,,,,,,,,,,15.0
434,Justin Tucker,K,,,,,,,,,,,,15.0
435,Cade York,K,,,,,,,,,,,,15.0
436,Riley Patterson,K,,,,,,,,,,,,15.0
437,Xavier Gipson,WR,,,,,,7.0,92.0,,5.0,,1.0,14.7
438,Malik Willis,QB,29.0,18.0,1.0,191.0,1.0,,,,39.0,,,14.54
439,Marcus Mariota,QB,31.0,20.0,1.0,215.0,1.0,,,,25.0,,,14.1
440,Joshua Dobbs,QB,31.0,20.0,1.0,205.0,1.0,,,,26.0,,,13.8
441,Joe Milton,QB,31.0,19.0,1.0,210.0,1.0,,,,23.0,,,13.7
442,Trey Lance,QB,29.0,18.0,1.0,185.0,1.0,,,,31.0,,,13.5
443,Josh Whyle,TE,,,,,,7.0,65.0,,,,,13.5
444,Deshaun Watson,QB,31.0,19.0,1.0,200.0,1.0,,,,21.0,,,13.1
445,Jake Browning,QB,31.0,19.0,1.0,214.0,1.0,,,,15.0,,,13.06
446,Ryan Fitzgerald,K,,,,,,,,,,,,13.0
447,Hendon Hooker,QB,31.0,20.0,1.0,210.0,1.0,,,,16.0,,,13.0
448,Tanner McKee,QB,31.0,20.0,1.0,215.0,1.0,,,,13.0,,,12.9
449,Nick Mullens,QB,33.0,20.0,1.0,224.0,1.0,,,,8.0,,,12.76
450,Tyson Bagent,QB,30.0,19.0,1.0,188.0,1.0,,,,22.0,,,12.72
451,Kirk Cousins,QB,33.0,22.0,1.0,231.0,1.0,,,,2.0,,,12.44
452,Zach Wilson,QB,31.0,19.0,1.0,200.0,1.0,,,,14.0,,,12.4
453,Quinn Ewers,QB,31.0,19.0,1.0,200.0,1.0,,,,14.0,,,12.4
454,Jacoby Brissett,QB,31.0,20.0,1.0,208.0,1.0,,,,10.0,,,12.32
455,Jarrett Stidham,QB,31.0,20.0,1.0,205.0,1.0,,,,10.0,,,12.2
456,Mac Jones,QB,32.0,21.0,1.0,211.0,1.0,,,,7.0,,,12.14
457,Mason Rudolph,QB,31.0,20.0,1.0,205.0,1.0,,,,9.0,,,12.1
458,Cooper Rush,QB,30.0,19.0,1.0,202.0,1.0,,,,10.0,,,12.08
459,Andy Dalton,QB,31.0,20.0,1.0,207.0,1.0,,,,8.0,,,12.08
460,Mitchell Evans,TE,,,,,,6.0,60.0,,,,,12.0
461,David Bell,WR,,,,,,6.0,60.0,,,,,12.0
462,Mitchell Trubisky,QB,30.0,19.0,1.0,205.0,1.0,,,,8.0,,,12.0
463,Kyle Trask,QB,30.0,19.0,1.0,203.0,1.0,,,,8.0,,,11.92
464,Drew Lock,QB,30.0,19.0,1.0,200.0,1.0,,,,8.0,,,11.8
465,Davis Mills,QB,30.0,19.0,1.0,199.0,1.0,,,,7.0,,,11.66
466,Brandon Allen,QB,30.0,19.0,1.0,195.0,1.0,,,,8.0,,,11.6
467,Dante Pettis,WR,,,,,,5.0,55.0,,6.0,,,11.1
468,Cedrick Wilson,WR,,,,,,5.0,55.0,,6.0,,,11.1
469,Gardner Minshew,QB,32.0,20.0,1.0,215.0,1.0,,,,13.0,,1.0,10.9
470,Jamari Thrash,WR,,,,,,5.0,56.0,,,,,10.6
471,DeAndre Carter,WR,,,,,,6.0,60.0,,6.0,,1.0,10.6
472,Aidan O'Connell,QB,34.0,21.0,1.0,222.0,1.0,,,,3.0,,1.0,10.18
473,Dare Ogunbowale,RB,,,,,,4.0,29.0,,32.0,,,10.1
474,Pharaoh Brown,TE,,,,,,5.0,50.0,,,,,10.0
475,Tip Reiman,TE,,,,,,5.0,49.0,,,,,9.9
476,Jeremy McNichols,RB,,,,,,3.0,24.0,,41.0,,,9.5
477,Chris Rodriguez,RB,,,,,,3.0,21.0,,42.0,,,9.3
478,Lil'Jordan Humphrey,WR,,,,,,4.0,44.0,,,,,8.4
479,Charlie Kolar,TE,,,,,,4.0,43.0,,1.0,,,8.4
480,Jackson Hawes,TE,,,,,,4.0,42.0,,,,,8.2
481,Ross Dwelley,TE,,,,,,4.0,41.0,,,,,8.1
482,Hunter Renfrow,WR,,,,,,4.0,40.0,,,,,8.0
483,Greg Joseph,K,,,,,,,,,,,,8.0
484,Luke Farrell,TE,,,,,,4.0,39.0,,,,,7.9
485,Tucker Fisk,TE,,,,,,4.0,39.0,,,,,7.9
486,Eric Saubert,TE,,,,,,4.0,39.0,,,,,7.9
487,Drew Ogletree,TE,,,,,,4.0,39.0,,,,,7.9
488,Craig Reynolds,RB,,,,,,2.0,14.0,,42.0,,,7.6
489,Dylan Laube,RB,,,,,,3.0,22.0,,20.0,,,7.2
490,Clyde Edwards-Helaire,RB,,,,,,3.0,22.0,,20.0,,,7.2
491,Jordan Watkins,WR,,,,,,3.0,36.0,,5.0,,,7.1
492,Jase McClellan,RB,,,,,,2.0,14.0,,34.0,,,6.8
493,Jimmy Horn,WR,,,,,,3.0,36.0,,,,,6.6
494,Scotty Miller,WR,,,,,,3.0,36.0,,,,,6.6
495,Nick Nash,WR,,,,,,3.0,35.0,,,,,6.5
496,DJ Turner,WR,,,,,,3.0,30.0,,4.0,,,6.4
497,Lan Larison,RB,,,,,,3.0,22.0,,12.0,,,6.4
498,Jonathan Mingo,WR,,,,,,3.0,33.0,,,,,6.3
499,Carson Steele,RB,,,,,,3.0,21.0,,12.0,,,6.3
500,Lucas Krull,TE,,,,,,3.0,33.0,,,,,6.3
501,Gerald Everett,TE,,,,,,3.0,32.0,,,,,6.2
502,Stone Smartt,TE,,,,,,3.0,31.0,,,,,6.1
503,Durham Smythe,TE,,,,,,3.0,30.0,,,,,6.0
504,Jamison Crowder,WR,,,,,,3.0,30.0,,,,,6.0
505,Jack Stoll,TE,,,,,,3.0,30.0,,,,,6.0
506,Pierre Strong,RB,,,,,,2.0,15.0,,25.0,,,6.0
507,Ian Thomas,TE,,,,,,3.0,29.0,,,,,5.9
508,Brandon Powell,WR,,,,,,3.0,29.0,,,,,5.9
509,Jordan Akins,TE,,,,,,3.0,28.0,,,,,5.8
510,Michael Woods,WR,,,,,,3.0,28.0,,,,,5.8
511,Travis Homer,RB,,,,,,2.0,15.0,,22.0,,,5.7
512,Raheim Sanders,RB,,,,,,2.0,15.0,,21.0,,,5.6
513,Cam Akers,RB,,,,,,1.0,6.0,,40.0,,,5.6
514,Hassan Haskins,RB,,,,,,2.0,15.0,,21.0,,,5.6
515,Kimani Vidal,RB,,,,,,2.0,15.0,,21.0,,,5.6
516,Ameer Abdullah,RB,,,,,,2.0,14.0,,21.0,,,5.5
517,Anthony Gould,WR,,,,,,2.0,29.0,,5.0,,,5.4
518,Deven Thompkins,WR,,,,,,2.0,21.0,,11.0,,,5.2
519,Rondale Moore,WR,,,,,,2.0,21.0,,11.0,,,5.2
520,Sterling Shepard,WR,,,,,,2.0,20.0,,11.0,,,5.1
521,DeeJay Dallas,RB,,,,,,3.0,22.0,,16.0,,1.0,4.8
522,Deuce Vaughn,RB,,,,,,1.0,7.0,,31.0,,,4.8
523,Jermaine Jackson,WR,,,,,,2.0,21.0,,6.0,,,4.7
524,Jashaun Corbin,RB,,,,,,1.0,7.0,,30.0,,,4.7
525,Kendrick Bourne,WR,,,,,,2.0,22.0,,5.0,,,4.7
526,Ashton Dulin,WR,,,,,,2.0,22.0,,5.0,,,4.7
527,Carlos Washington,RB,,,,,,1.0,7.0,,30.0,,,4.7
528,Tyler Scott,WR,,,,,,2.0,21.0,,5.0,,,4.6
529,Efton Chism,WR,,,,,,2.0,20.0,,6.0,,,4.6
530,Charlie Jones,WR,,,,,,2.0,21.0,,5.0,,,4.6
531,Malik Heath,WR,,,,,,2.0,25.0,,,,,4.5
532,Gus Edwards,RB,,,,,,1.0,6.0,,29.0,,,4.5
533,Tyler Huntley,QB,14.0,9.0,,94.0,,,,,7.0,,,4.46
534,Isaiah Neyor,WR,,,,,,2.0,24.0,,,,,4.4
535,LaJohntay Wester,WR,,,,,,2.0,24.0,,,,,4.4
536,Eric Gray,RB,,,,,,2.0,15.0,,29.0,,1.0,4.4
537,Braxton Berrios,WR,,,,,,2.0,19.0,,5.0,,,4.4
538,Tez Johnson,WR,,,,,,2.0,23.0,,,,,4.3
539,Jake Bobo,WR,,,,,,2.0,23.0,,,,,4.3
540,Tank Dell,WR,,,,,,2.0,22.0,,,,,4.2
541,Nelson Agholor,WR,,,,,,2.0,22.0,,,,,4.2
542,Justin Watson,WR,,,,,,2.0,22.0,,,,,4.2
543,Trent Sherfield,WR,,,,,,2.0,22.0,,,,,4.2
544,John Metchie,WR,,,,,,2.0,21.0,,,,,4.1
545,Parris Campbell,WR,,,,,,2.0,21.0,,,,,4.1
546,Xavier Hutchinson,WR,,,,,,2.0,21.0,,,,,4.1
547,Chris Manhertz,TE,,,,,,2.0,20.0,,,,,4.0
548,Greg Dulcich,TE,,,,,,2.0,20.0,,,,,4.0
549,Jared Wiley,TE,,,,,,2.0,20.0,,,,,4.0
550,Blake Whiteheart,TE,,,,,,2.0,20.0,,,,,4.0
551,Nick Vannett,TE,,,,,,2.0,20.0,,,,,4.0
552,Davis Allen,TE,,,,,,2.0,20.0,,,,,4.0
553,Robert Tonyan,TE,,,,,,2.0,20.0,,,,,4.0
554,Mo Alie-Cox,TE,,,,,,2.0,20.0,,,,,4.0
555,Hunter Long,TE,,,,,,2.0,19.0,,,,,3.9
556,Quintin Morris,TE,,,,,,2.0,19.0,,,,,3.9
557,Will Mallory,TE,,,,,,2.0,19.0,,,,,3.9
558,Tanner Hudson,TE,,,,,,2.0,18.0,,,,,3.8
559,Derius Davis,WR,,,,,,2.0,22.0,,16.0,,1.0,3.8
560,Jeff Wilson,RB,,,,,,1.0,7.0,,21.0,,,3.8
561,Trey Sermon,RB,,,,,,1.0,7.0,,21.0,,,3.8
562,Phil Mafah,RB,,,,,,1.0,7.0,,21.0,,,3.8
563,Tyler Badie,RB,,,,,,1.0,7.0,,21.0,,,3.8
564,Keilan Robinson,RB,,,,,,2.0,14.0,,4.0,,,3.8
565,Patrick Taylor,RB,,,,,,1.0,7.0,,21.0,,,3.8
566,Audric Estime,RB,,,,,,1.0,6.0,,20.0,,,3.6
567,D'Ernest Johnson,RB,,,,,,1.0,7.0,,17.0,,,3.4
568,George Holani,RB,,,,,,1.0,7.0,,17.0,,,3.4
569,Tommy Mellott,QB,,,,,,1.0,15.0,,6.0,,,3.1
570,Ezekiel Elliott,RB,,,,,,1.0,6.0,,12.0,,,2.8
571,Mecole Hardman,WR,,,,,,2.0,22.0,,6.0,,1.0,2.8
572,Xavier Smith,WR,,,,,,2.0,22.0,,5.0,,1.0,2.7
573,Devin Duvernay,WR,,,,,,2.0,21.0,,6.0,,1.0,2.7
574,Tyquan Thornton,WR,,,,,,1.0,16.0,,,,,2.6
575,Sione Vaki,RB,,,,,,1.0,7.0,,9.0,,,2.6
576,JaMycal Hasty,RB,,,,,,1.0,7.0,,8.0,,,2.5
577,Jason Brownlee,WR,,,,,,1.0,14.0,,,,,2.4
578,Julius Chestnut,RB,,,,,,1.0,6.0,,8.0,,,2.4
579,Nikko Remigio,WR,,,,,,1.0,13.0,,,,,2.3
580,Ronnie Rivers,RB,,,,,,1.0,7.0,,4.0,,,2.1
581,Harrison Bryant,TE,,,,,,1.0,9.0,,,,,1.9
582,Kylen Granson,TE,,,,,,1.0,9.0,,,,,1.9
583,Jacob Cowing,WR,,,,,,,,,17.0,,,1.7
584,Jha'Quan Jackson,WR,,,,,,1.0,11.0,,5.0,,1.0,0.6
585,Dee Eskridge,WR,,,,,,,,,5.0,,,0.5
586,Trenton Irwin,WR,,,,,,,,,5.0,,,0.5
587,Deonte Harty,WR,,,,,,,,,5.0,,,0.5
